time,pitch_1 (°),roll_1 (°),range_1 (mm),pitch_2 (°),roll_2 (°),range_2 (mm)
2025/4/14 11:57:11,36.04,-12.25,13,75.11,-22.11,3
2025/4/14 11:57:14,35.98,-12.35,15,74.64,-22.1,1
2025/4/14 11:57:17,36.02,-12.53,12,74.98,-21.68,5
2025/4/14 11:57:20,36.09,-12.38,12,75.11,-21.73,5
2025/4/14 11:57:23,36.05,-12.15,12,75.1,-21.63,3
2025/4/14 11:57:26,36.02,-12.27,13,74.97,-21.71,1
2025/4/14 11:57:29,36,-12.32,14,75.03,-20.74,2
2025/4/14 11:57:32,36.09,-12.45,13,75.13,-21.45,3
2025/4/14 11:57:35,36.02,-12.19,13,75.04,-21.05,4
2025/4/14 11:57:38,36.08,-12.39,13,75.03,-21.41,4
2025/4/14 11:57:41,36.09,-12.62,12,75.03,-21.52,6
2025/4/14 11:57:44,36.21,-12.64,13,74.98,-21.3,3
2025/4/14 11:57:47,36.04,-12.56,12,75.48,-21.35,3
2025/4/14 11:57:50,35.95,-12.06,12,75.03,-20.96,2
2025/4/14 11:57:53,36.02,-12.26,13,75.03,-21.21,2
2025/4/14 11:57:56,36.22,-12.48,12,75.1,-21.01,1
2025/4/14 11:57:59,36.04,-12.44,14,75.08,-21.34,4
2025/4/14 11:58:02,36.12,-12.64,14,75.08,-20.65,3
2025/4/14 11:58:05,36.07,-12.66,13,75.01,-20.98,1
2025/4/14 11:58:08,35.95,-12.42,12,75.17,-19.6,3
2025/4/14 11:58:11,35.92,-12.4,12,75.12,-21.03,2
2025/4/14 11:58:14,36.13,-12.39,13,75.08,-20.72,4
2025/4/14 11:58:17,35.98,-12.5,14,75.16,-20.64,4
2025/4/14 11:58:20,35.99,-12.45,13,75.21,-20.58,2
2025/4/14 11:58:23,36.08,-12.46,14,75.05,-20.77,3
2025/4/14 11:58:26,35.93,-12.4,14,75.11,-20.59,5
2025/4/14 11:58:29,36.14,-12.33,12,75.17,-20.33,2
2025/4/14 11:58:32,36.09,-12.61,14,75.24,-20.53,1
2025/4/14 11:58:35,35.79,-12.34,14,75.24,-20.39,3
2025/4/14 11:58:38,35.91,-12.34,11,75.15,-20.32,4
2025/4/14 11:58:41,35.78,-12.17,14,75.13,-20.14,3
2025/4/14 11:58:44,36.05,-12.64,13,75.15,-20.49,3
2025/4/14 11:58:47,35.96,-12.36,13,75.18,-20.2,2
2025/4/14 11:58:50,35.92,-12.36,14,75.11,-20.21,2
2025/4/14 11:58:53,35.95,-12.43,12,75.24,-19.98,3
2025/4/14 11:58:56,36.2,-12.24,12,75.16,-20.3,2
2025/4/14 11:58:59,36.25,-12.23,14,75.11,-20.37,3
2025/4/14 11:59:02,35.99,-12.14,15,75.2,-20.03,4
2025/4/14 11:59:05,35.98,-12.05,13,75.21,-20.2,4
2025/4/14 11:59:08,35.97,-12.43,12,75.2,-20.14,3
2025/4/14 11:59:11,36.04,-12.37,14,75.15,-20.22,5
2025/4/14 11:59:14,36.08,-12.41,13,75.22,-20.07,5
2025/4/14 11:59:17,36.01,-12.37,12,75.21,-20.38,3
2025/4/14 11:59:20,36.11,-12.33,13,75.16,-19.94,6
2025/4/14 11:59:23,35.93,-12.43,15,75.18,-19.87,3
2025/4/14 11:59:26,36.09,-12.28,14,75.14,-19.9,4
2025/4/14 11:59:29,36.01,-12.38,15,75.19,-19.83,2
2025/4/14 11:59:32,36.08,-12.49,11,75.21,-19.6,3
2025/4/14 11:59:35,36.05,-12.39,13,75.26,-19.7,5
